,nombre,direccion
62,ADECOI MEXICO  SA DE CV,COMPUTACION MZ 1 LT 5 SOLIDARIDAD NAL GUSTAVO A MADERO 7268 CDMX
63,SECOLAM  SA DE CV,RAMON NOVARO 65 nan JORGE NEGRETE GUSTAVO A MADERO 7280 CDMX
64,HECABUMEX  SA DE CV,MORELOS 633 nan SANTA MARIA TULPETLAC ECATEPEC DE MORELOS 55400 Estado de Mexico
65,DISFARM D ALAN SA DE CV,GEOLOGIA MZ18 LT1 SN SOLIDARIDAD NACIONAL GUSTAVO A MADERO 7268 CDMX
66,COMERCIALIZADORA PHARMACEUTICA COMPHARMA SA DE CV,INDUSTRIA TEXTIL 20 nan PARQUE INDUSTRIAL NA NAUCALPAN DE JUAREZ 53489 Estado de Mexico
67,GARDUO Y ASOCIADOS CORPORATIVO ADUANAL  SA DE CV,IBIZA 12 nan POTRERO DEL LLANO AZCAPOTZALCO 2680 CDMX
68,TRANSPORTES FAMARA  SA DE CV,COLEGIO SALECIANO 190 5 ANAHUAC I SECCION MIGUEL HIDALGO 11320 CDMX
69,CORPORATIVO EN NEGOCIOS Y ADUANAS  SA DE CV,PLATANALES 229 nan NUEVA SANTA MARIA AZCAPOTZALCO 2800 CDMX
70,RSBE CONSTRUCCIONES  SA DE CV,CALLE CRUZ GALVEZ 195 nan NUEVA SANTA MARIA AZCAPOTZALCO 2800 CDMX
71,PRODUCCIONES INTERESTELARES  SA DE CV,GOLFO DE SIAM 32 nan TACUBA MIGUEL HIDALGO 11410 CDMX
72,INDUSTRIAS BIOSELEC  SA DE CV,AMORES 744 nan DEL VALLE CENTRO BENITO JUAREZ 3100 CDMX
73,ANCLA IMPORTS  SA DE CV,PINO 663 2 LIBERACION AZCAPOTZALCO 2930 CDMX
74,REBSAN PROYECTOS E INSTALACIONES  SA DE CV,FRAY BARTOLOME DE OLMEDO 80 nan VASCO DE QUIROGA GUSTAVO A MADERO 7440 CDMX
75,LAMINAS EXPANDIDAS YTEJIDOS INDUSTRIALE S  SA DE CV,PONIENTE 122 473 LOCAL A COLTONGO AZCAPOTZALCO 2630 CDMX
76,"MORAMEX VIAJES, SA DE CV",GIROS POSTALES 1 LC B POSTAL BENITO JUAREZ 3410 CDMX
77,OBSIDIAN  SA DE CV,EJE 6 SUR AV PLAYA PIE DE LA CUESTA 194 nan REFORMA IZTACCIHUATL IZTACALCO 8840 CDMX
78,GRUPO COMERCIAL KASST  SA DE CV,MORENA 228 402 DEL VALLE CENTRO BENITO JUAREZ 3100 CDMX
79,WOW MODELS  SA DE CV,MONTERREY 159 101 ROMA NORTE CUAUHTEMOC 6700 CDMX
80,COMERCIALIZADORA LARI  SA DE CV,OZOLOAPAN MZ 174 3059 LOS PADRES LA MAGDALENA CONTRERAS 10340 CDMX
81,CARTONES Y PAPELES SAN JERONIMO  SA DE CV,CARR MEXICO TOLUCA 5095 T D1203 EL YAQUI CUAJIMALPA DE MORELOS 5320 CDMX
82,"ARTEMANI, SA DE CV",AV SAN JERONIMO 1671 nan LOMAS QUEBRADAS LA MAGDALENA CONTRERAS 10000 CDMX
83,LOGISTICA Y SUMINISTROS EMPRESARIALES DELFIN  SA DE CV,YAQUIS 163 nan TLALCOLIGIA TLALPAN 14430 CDMX
84,"GRUPO ENERGESYS, SA DE CV",LAZARO CARDENAS 1004 PB PORTALES SUR BENITO JUAREZ 3300 CDMX
85,PUNTO DE APOYO SA DE CV,CALLE 4 N 18 D SAN PEDRO DE LOS PINOS ALVARO OBREGON 1180 CDMX
86,CELLREX  SA DE CV,ZEMPOALA 294 2 NARVARTE BENITO JUAREZ 3020 CDMX
87,ZN CORPORATIVO SA DE CV,MIGUEL LAURENT 1695 nan LETRAN VALLE BENITO JUAREZ 3650 CDMX
88,"SAGREV-SOL, SA DE CV",AYUTLA MZ 82 LT 14 SAN FELIPE DE JESUS GUSTAVO A MADERO 7510 CDMX
89,"TODO EN MICROESCALA, SA DE CV  SA DE CV",AVENIDA PETROLEROS LT10 YLT11 AV LOPEZ PORTILLO CAMPECHE 24097 Campeche
90,REFACCIONES Y ELASTOMEROS INDUSTRIALES  SA DE CV,ALPINO AGUILUCHOS MZA 52 LT692 nan SAN ISIDRO IXHUATEPEC TLALNEPANTLA 54197 Estado de Mexico
91,PANELES Y PLAFONES MG  SA DE CV,AV ACUEDUCTO DE TENAYUCA 131 LOC A ACUEDUCTO TENAYUCA TLALNEPANTLA DE BAZ 54150 Estado de Mexico
92,MEDICO QUIRURGICA FUENTES  SA DE CV,FUENTES DE CHAPULTEPEC 258 nan FUENTES DEL VALLE TULTITLAN 54910 Estado de Mexico
93,GENERAL DE PINTURAS EDOMEX SA DE CV,BLVD DE LAS FUANTES 466A nan FUNTES DEL VALLE TULTITLAN 54900 Estado de Mexico
94,TRANSPORTADORA DE LIQUIDOS Y GRANOS  SA DE CV,GENERAL JESUS ALMANZA 56 nan TEPALCATES IZTAPALAPA 9210 CDMX
95,DISTRIBUIDORA QUIMICA RUEHL  SA DE CV,SEPTIMA PRIV DE PINO SUAREZ MANZANA 86 LOTE 8 CASA 1 LOS HEROES TECAMAC TECAMAC 55765 Estado de Mexico
96,LUINTRA MUEBLES  SA DE CV,AV 16 DE SEPTIEMBRE 45 nan HIDALGO NICOLAS ROMERO 54434 Estado de Mexico
97,"MONTEQUIPO, SA DE CV",PROL JOSE MARIA MORELOS 38 nan XOCOYAHUALCO TLALNEPANTLA DE BAZ 54080 Estado de Mexico
98,PROYECTO ALIMENTICIO SA DE CV,POZA RICA 29 nan SAN JERONIMO ACULCO LA MAGDALENA CONTRERAS 10400 CDMX
99,"DYMAX, SA DE CV",RICARDO PALMERIN 100 nan GUADALUPE INN ALVARO OBREGON 1020 CDMX
100,SOLUCIONES APLICADAS SA DE CV,AV SAN JERONIMO 630 SAH04 LA OTRA BANDA ALVARO OBREGON 1090 CDMX
101,DRAGONES DREAM CENTER  SA DE CV,BARTOLOME R SALIDO 103 nan INDEPENDENCIA BENITO JUAREZ 3630 CDMX
102,GALO PUBLIC RELATIONS  SA DE CV,MARIANO ESCOBEDO 331 2 POLANCO V SECCION MIGUEL HIDALGO 11560 CDMX
103,CASA XIPE  SA DE CV,PONIENTE 108 559 LOC A DEFENSORES DE LA REP GUSTAVO A MADERO 7780 CDMX
104,CINES 3  SA DE CV,DR CARMONA Y VALLE 147 nan DOCTORES CUAUHTEMOC 6720 CDMX
105,DIADSA  SA DE CV,AV VALLE DE LAS ZAPATAS MZ 2 LT 25 VALLE DE ARAGON NEZAHUALCOYOTL 57100 Estado de Mexico
106,"TEJIDOS CHARMAGNE, SA DE CV",ANO 1810 22 nan BARRIO LA PURISIMA TICOMAN GUSTAVO A MADERO 7330 CDMX
107,"TINOXSA, SA DE CV",GABINO BARREDA MZ 19 LT 3 ZONA ESCOLAR GUSTAVO A MADERO 7230 CDMX
108,ERCOM TECHNOLOGIES  SA DE CV,PONIENTE 140 839 304 INDUSTRIAL VALLEJO AZCAPOTZALCO 2300 CDMX
109,TEXTI PLAYERAS IMPORTADAS  SA DE CV,5 DE MAYO 45 nan SAN BARTOLO NAUCALPA NAUCALPAN DE JUAREZ 53000 Estado de Mexico
110,SOFWARE INTEGRAL DE SISTEMAS DE COMPUTO  SA DE CV,CLL BOSQUE DE ANGOLA 34 nan FRACC BOSQUES DE ARAGON NEZAHUALCOYOTL 57170 Estado de Mexico
111,"PASSION UNDERWEAR, SA DE CV",JIQUILPAN 131 PSO 3 JANITZIO VENUSTIANO CARRANZA 15200 CDMX
112,SOLUCIONES Y SISTEMAS VAMEN  SA DE CV,PLOMEROS 264 nan MICHOACANA VENUSTIANO CARRANZA 15240 CDMX
